Datum,1NP901A
15.8.1996. 00:00:00,73.8
20.8.1996. 00:00:00,73.78
25.8.1996. 00:00:00,73.76
1.9.1996. 00:00:00,73.76
5.9.1996. 00:00:00,73.77
10.9.1996. 00:00:00,73.78
15.9.1996. 00:00:00,73.77
20.9.1996. 00:00:00,73.79
25.9.1996. 00:00:00,73.79
1.10.1996. 00:00:00,73.8
5.10.1996. 00:00:00,73.79
10.10.1996. 00:00:00,73.81
15.10.1996. 00:00:00,73.8
20.10.1996. 00:00:00,73.79
25.10.1996. 00:00:00,73.79
1.11.1996. 00:00:00,73.8
5.11.1996. 00:00:00,73.81
10.11.1996. 00:00:00,73.82
15.11.1996. 00:00:00,73.81
20.11.1996. 00:00:00,73.82
25.11.1996. 00:00:00,73.84
1.12.1996. 00:00:00,73.85
5.12.1996. 00:00:00,73.86
10.12.1996. 00:00:00,73.86
15.12.1996. 00:00:00,73.88
20.12.1996. 00:00:00,73.89
25.12.1996. 00:00:00,73.89
1.1.1997. 00:00:00,73.93
5.1.1997. 00:00:00,73.96
10.1.1997. 00:00:00,73.98
15.1.1997. 00:00:00,74.0
20.1.1997. 00:00:00,74.02
25.1.1997. 00:00:00,74.03
1.2.1997. 00:00:00,74.04
5.2.1997. 00:00:00,74.06
10.2.1997. 00:00:00,74.08
15.2.1997. 00:00:00,74.1
20.2.1997. 00:00:00,74.11
25.2.1997. 00:00:00,74.11
1.3.1997. 00:00:00,74.12
5.3.1997. 00:00:00,74.13
10.3.1997. 00:00:00,74.13
15.3.1997. 00:00:00,74.14
20.3.1997. 00:00:00,74.14
25.3.1997. 00:00:00,74.15
1.4.1997. 00:00:00,74.16
5.4.1997. 00:00:00,74.17
10.4.1997. 00:00:00,74.18
15.4.1997. 00:00:00,74.19
20.4.1997. 00:00:00,74.23
25.4.1997. 00:00:00,74.27
1.5.1997. 00:00:00,74.27
5.5.1997. 00:00:00,74.28
10.5.1997. 00:00:00,74.27
15.5.1997. 00:00:00,74.27
20.5.1997. 00:00:00,74.25
25.5.1997. 00:00:00,74.24
1.6.1997. 00:00:00,74.23
5.6.1997. 00:00:00,74.22
10.6.1997. 00:00:00,74.2
15.6.1997. 00:00:00,74.19
20.6.1997. 00:00:00,74.18
25.6.1997. 00:00:00,74.17
1.7.1997. 00:00:00,74.17
5.7.1997. 00:00:00,74.13
10.7.1997. 00:00:00,74.1
15.7.1997. 00:00:00,74.08
20.7.1997. 00:00:00,74.05
25.7.1997. 00:00:00,74.09
1.8.1997. 00:00:00,74.12
5.8.1997. 00:00:00,74.18
10.8.1997. 00:00:00,74.2
15.8.1997. 00:00:00,74.25
20.8.1997. 00:00:00,74.28
25.8.1997. 00:00:00,74.31
1.9.1997. 00:00:00,74.31
5.9.1997. 00:00:00,74.29
10.9.1997. 00:00:00,74.27
15.9.1997. 00:00:00,74.2
20.9.1997. 00:00:00,74.23
25.9.1997. 00:00:00,74.23
10.12.1997. 00:00:00,74.45
15.12.1997. 00:00:00,74.44
20.12.1997. 00:00:00,74.49
25.12.1997. 00:00:00,74.5
1.4.1998. 00:00:00,74.87
5.4.1998. 00:00:00,74.82
10.4.1998. 00:00:00,74.78
15.4.1998. 00:00:00,74.78
20.4.1998. 00:00:00,74.75
25.4.1998. 00:00:00,74.74
1.5.1998. 00:00:00,74.74
5.5.1998. 00:00:00,74.69
10.5.1998. 00:00:00,74.67
15.5.1998. 00:00:00,74.65
20.5.1998. 00:00:00,74.63
25.5.1998. 00:00:00,74.63
1.6.1998. 00:00:00,74.63
5.6.1998. 00:00:00,74.64
10.6.1998. 00:00:00,74.63
15.6.1998. 00:00:00,74.61
20.6.1998. 00:00:00,74.63
25.6.1998. 00:00:00,74.61
1.7.1998. 00:00:00,74.61
5.7.1998. 00:00:00,74.61
10.7.1998. 00:00:00,74.58
15.7.1998. 00:00:00,74.59
20.7.1998. 00:00:00,74.54
25.7.1998. 00:00:00,74.54
