Datum,1NP894
10/01/1975 00:00:00,70.76
20/01/1975 00:00:00,70.71
30/01/1975 00:00:00,70.66
10/02/1975 00:00:00,70.71
20/02/1975 00:00:00,70.76
28/02/1975 00:00:00,70.76
10/03/1975 00:00:00,70.7
20/03/1975 00:00:00,70.81
30/03/1975 00:00:00,70.86
10/04/1975 00:00:00,70.76
20/04/1975 00:00:00,70.81
30/04/1975 00:00:00,70.86
10/05/1975 00:00:00,70.96
20/05/1975 00:00:00,71.01
30/05/1975 00:00:00,71.06
10/06/1975 00:00:00,71.16
20/06/1975 00:00:00,72.16
30/06/1975 00:00:00,71.96
10/07/1975 00:00:00,71.71
20/07/1975 00:00:00,71.76
30/07/1975 00:00:00,71.81
10/08/1975 00:00:00,71.76
20/08/1975 00:00:00,71.71
30/08/1975 00:00:00,71.66
10/09/1975 00:00:00,71.56
20/09/1975 00:00:00,71.46
30/09/1975 00:00:00,71.36
10/10/1975 00:00:00,71.66
20/10/1975 00:00:00,71.31
30/10/1975 00:00:00,71.16
10/11/1975 00:00:00,71.06
20/11/1975 00:00:00,71.06
30/11/1975 00:00:00,70.96
10/12/1975 00:00:00,70.96
20/12/1975 00:00:00,70.91
30/12/1975 00:00:00,70.91
10/01/1977 00:00:00,71.06
20/01/1977 00:00:00,71.01
30/01/1977 00:00:00,70.96
10/02/1977 00:00:00,71.06
20/02/1977 00:00:00,71.16
28/02/1977 00:00:00,71.26
10/03/1977 00:00:00,71.36
20/03/1977 00:00:00,71.56
30/03/1977 00:00:00,71.76
10/04/1977 00:00:00,71.76
20/04/1977 00:00:00,71.76
30/04/1977 00:00:00,71.86
10/05/1977 00:00:00,71.86
20/05/1977 00:00:00,71.66
30/05/1977 00:00:00,71.46
10/06/1977 00:00:00,71.36
20/06/1977 00:00:00,71.26
30/06/1977 00:00:00,71.16
10/07/1977 00:00:00,71.16
20/07/1977 00:00:00,71.08
30/07/1977 00:00:00,71.18
10/08/1977 00:00:00,70.96
20/08/1977 00:00:00,70.76
30/08/1977 00:00:00,71.06
10/09/1977 00:00:00,70.76
20/09/1977 00:00:00,70.66
30/09/1977 00:00:00,70.61
10/10/1977 00:00:00,70.61
20/10/1977 00:00:00,71.13
30/10/1977 00:00:00,70.53
10/11/1977 00:00:00,70.63
20/11/1977 00:00:00,70.53
30/11/1977 00:00:00,70.43
10/12/1977 00:00:00,70.53
20/12/1977 00:00:00,70.53
30/12/1977 00:00:00,70.48
10/01/1978 00:00:00,70.56
20/01/1978 00:00:00,70.51
30/01/1978 00:00:00,70.46
10/02/1978 00:00:00,70.56
20/02/1978 00:00:00,70.61
28/02/1978 00:00:00,70.61
10/03/1978 00:00:00,70.56
20/03/1978 00:00:00,71.16
30/03/1978 00:00:00,71.28
10/04/1978 00:00:00,71.36
20/04/1978 00:00:00,71.36
30/04/1978 00:00:00,71.46
10/05/1978 00:00:00,71.36
20/05/1978 00:00:00,71.46
30/05/1978 00:00:00,71.46
10/06/1978 00:00:00,71.46
20/06/1978 00:00:00,71.56
30/06/1978 00:00:00,71.36
10/07/1978 00:00:00,71.26
20/07/1978 00:00:00,71.21
30/07/1978 00:00:00,71.11
10/08/1978 00:00:00,71.11
20/08/1978 00:00:00,71.1
30/08/1978 00:00:00,71.05
10/09/1978 00:00:00,70.95
20/09/1978 00:00:00,70.75
30/09/1978 00:00:00,70.64
10/10/1978 00:00:00,70.65
20/10/1978 00:00:00,70.59
30/10/1978 00:00:00,70.64
10/11/1978 00:00:00,70.65
20/11/1978 00:00:00,70.69
30/11/1978 00:00:00,70.74
10/12/1978 00:00:00,70.74
20/12/1978 00:00:00,70.66
30/12/1978 00:00:00,70.66
10/01/1979 00:00:00,70.66
20/01/1979 00:00:00,70.76
30/01/1979 00:00:00,70.86
10/02/1979 00:00:00,70.86
20/02/1979 00:00:00,70.96
28/02/1979 00:00:00,71.21
10/03/1979 00:00:00,71.16
20/03/1979 00:00:00,71.06
30/03/1979 00:00:00,70.96
10/04/1979 00:00:00,70.96
20/04/1979 00:00:00,70.96
30/04/1979 00:00:00,70.96
10/05/1979 00:00:00,70.96
20/05/1979 00:00:00,71.01
30/05/1979 00:00:00,71.01
