Datum,1NPPL-111
25.2.2008. 00:00:00,398
1.3.2008. 00:00:00,391
5.3.2008. 00:00:00,390
10.3.2008. 00:00:00,365
15.3.2008. 00:00:00,360
20.3.2008. 00:00:00,353
25.3.2008. 00:00:00,333
1.4.2008. 00:00:00,334
5.4.2008. 00:00:00,336
10.4.2008. 00:00:00,335
15.4.2008. 00:00:00,336
20.4.2008. 00:00:00,308
25.4.2008. 00:00:00,322
1.5.2008. 00:00:00,328
5.5.2008. 00:00:00,334
10.5.2008. 00:00:00,356
15.5.2008. 00:00:00,366
20.5.2008. 00:00:00,377
25.5.2008. 00:00:00,375
1.6.2008. 00:00:00,373
5.6.2008. 00:00:00,374
10.6.2008. 00:00:00,377
15.6.2008. 00:00:00,380
20.6.2008. 00:00:00,383
25.6.2008. 00:00:00,394
1.7.2008. 00:00:00,401
5.7.2008. 00:00:00,408
10.7.2008. 00:00:00,409
15.7.2008. 00:00:00,410
20.7.2008. 00:00:00,410
25.7.2008. 00:00:00,411
1.8.2008. 00:00:00,411
5.8.2008. 00:00:00,412
10.8.2008. 00:00:00,412
15.8.2008. 00:00:00,412
20.8.2008. 00:00:00,418
25.8.2008. 00:00:00,427
1.9.2008. 00:00:00,432
5.9.2008. 00:00:00,436
10.9.2008. 00:00:00,440
15.9.2008. 00:00:00,443
20.9.2008. 00:00:00,430
25.9.2008. 00:00:00,431
1.10.2008. 00:00:00,434
5.10.2008. 00:00:00,433
10.10.2008. 00:00:00,433
15.10.2008. 00:00:00,433
20.10.2008. 00:00:00,431
25.10.2008. 00:00:00,430
1.11.2008. 00:00:00,429
5.11.2008. 00:00:00,428
10.11.2008. 00:00:00,426
15.11.2008. 00:00:00,427
20.11.2008. 00:00:00,428
25.11.2008. 00:00:00,434
1.12.2008. 00:00:00,423
5.12.2008. 00:00:00,420
10.12.2008. 00:00:00,416
15.12.2008. 00:00:00,413
20.12.2008. 00:00:00,408
25.12.2008. 00:00:00,402
1.1.2009. 00:00:00,356
2.1.2009. 00:00:00,361
3.1.2009. 00:00:00,367
4.1.2009. 00:00:00,373
5.1.2009. 00:00:00,379
6.1.2009. 00:00:00,385
7.1.2009. 00:00:00,389
8.1.2009. 00:00:00,392
9.1.2009. 00:00:00,393
10.1.2009. 00:00:00,396
11.1.2009. 00:00:00,399
12.1.2009. 00:00:00,400
13.1.2009. 00:00:00,402
14.1.2009. 00:00:00,404
15.1.2009. 00:00:00,405
16.1.2009. 00:00:00,406
17.1.2009. 00:00:00,407
18.1.2009. 00:00:00,407
19.1.2009. 00:00:00,405
20.1.2009. 00:00:00,402
21.1.2009. 00:00:00,400
22.1.2009. 00:00:00,399
23.1.2009. 00:00:00,401
24.1.2009. 00:00:00,402
25.1.2009. 00:00:00,400
26.1.2009. 00:00:00,397
27.1.2009. 00:00:00,393
28.1.2009. 00:00:00,374
29.1.2009. 00:00:00,345
30.1.2009. 00:00:00,333
31.1.2009. 00:00:00,334
1.2.2009. 00:00:00,328
2.2.2009. 00:00:00,330
3.2.2009. 00:00:00,339
4.2.2009. 00:00:00,353
5.2.2009. 00:00:00,360
6.2.2009. 00:00:00,361
7.2.2009. 00:00:00,362
8.2.2009. 00:00:00,363
9.2.2009. 00:00:00,363
10.2.2009. 00:00:00,361
11.2.2009. 00:00:00,352
12.2.2009. 00:00:00,340
13.2.2009. 00:00:00,337
14.2.2009. 00:00:00,340
15.2.2009. 00:00:00,337
16.2.2009. 00:00:00,333
17.2.2009. 00:00:00,334
18.2.2009. 00:00:00,334
19.2.2009. 00:00:00,342
20.2.2009. 00:00:00,350
21.2.2009. 00:00:00,356
22.2.2009. 00:00:00,359
23.2.2009. 00:00:00,361
24.2.2009. 00:00:00,366
25.2.2009. 00:00:00,371
26.2.2009. 00:00:00,374
27.2.2009. 00:00:00,375
28.2.2009. 00:00:00,374
1.3.2009. 00:00:00,365
2.3.2009. 00:00:00,362
3.3.2009. 00:00:00,363
4.3.2009. 00:00:00,365
5.3.2009. 00:00:00,354
6.3.2009. 00:00:00,343
7.3.2009. 00:00:00,318
8.3.2009. 00:00:00,307
9.3.2009. 00:00:00,304
10.3.2009. 00:00:00,298
11.3.2009. 00:00:00,294
12.3.2009. 00:00:00,289
13.3.2009. 00:00:00,284
14.3.2009. 00:00:00,283
15.3.2009. 00:00:00,277
16.3.2009. 00:00:00,274
17.3.2009. 00:00:00,278
18.3.2009. 00:00:00,279
19.3.2009. 00:00:00,280
20.3.2009. 00:00:00,282
21.3.2009. 00:00:00,281
22.3.2009. 00:00:00,284
23.3.2009. 00:00:00,289
24.3.2009. 00:00:00,291
25.3.2009. 00:00:00,293
26.3.2009. 00:00:00,301
27.3.2009. 00:00:00,310
